IDs,ECFCs_Crit_C1,ECFCs_Crit_C2,ECFCs_Crit_C3,ECFCs_Crit_C4,ECFCs_Crit_C5,ECFCs_Crit_C6,ECFCs_Crit_C7,ECFCs_Crit_C8,ECFCs_PCR+_066,ECFCs_PCR+_081,ECFCs_PCR+_090,ECFCs_PCR+_111,ECFCs_PCR+_163,ECFCs_PCR+_169,ECFCs_PCR+_195,ECFCs_PCR+_299,ECFCs_Neg_001,ECFCs_Neg_013,ECFCs_Neg_0012,ECFCs_Neg_004,ECFCs_Neg_005,ECFCs_Neg_006,ECFCs_Neg_007,ECFCs_Neg_008
Q6ZRP7,68.6873,69.733,55.8167,46.4001,,,41.6507,40.2734,143.47,141.448,66.4886,44.6557,53.2143,52.872,115.994,68.0596,57.0276,28.5186,,28.9765,,33.3078,33.9123,16.1733
Q6ZVK8,43.9879,71.8178,,,67.4268,,8.83772,7.03231,17.0452,8.49859,,,5.515,3.41191,26.6247,20.8115,56.1731,185.701,111.855,56.4312,110.583,69.3754,62.3854,114.262
Q75T13,38718,42163.9,28672.3,24524.2,46864,40872.5,34372,22189.1,3732.11,3392.44,5889.31,7495.7,6814.04,7922.3,4523.11,7986.55,3034.25,4448.49,3222.14,2582.88,3517.17,3633.09,2785.04,2523.46
Q8IWF6,37.2948,9.22353,52.8368,61.6519,,70.678,67.5469,45.9926,50.4761,55.9856,55.8066,55.2263,75.4014,63,73.0917,44.415,3.49593,,,6.63436,,4.25326,,6.13047
Q8N5M1,19.8938,24.728,42.7628,27.4486,,,24.8988,47.5429,34.6254,55.432,28.0729,19.2538,30.4769,16.6162,54.0042,14.7992,6.65247,16.3352,,,,5.60187,5.45536,
Q8N7R7,,83.8129,29.1716,39.2978,61.1812,25.7226,19.7516,28.8249,66.6306,70.6428,72.5893,73.0448,50.8274,58.2748,80.3876,63.0419,91.7074,128.918,150.243,111.503,136.292,91.2141,121.552,119.73
Q8ND76,168.372,200.003,167.81,190.391,114.8,139.051,155.903,190.895,281.158,338.103,325.32,354.566,323.104,358.007,340.986,398.729,383.056,457.935,418.728,444.294,573.715,372.573,457.578,465.197
Q8NHW5,,70.789,32.7809,35.9096,10.5459,67.8813,22.7412,25.5977,42.5243,49.4962,7.15907,10.1806,19.5609,33.0483,41.0985,28.8705,65.6559,105.276,188.241,36.7533,129.603,115.512,166.109,91.7725
Q8TC07,97.5477,132.561,112.484,127.336,84.184,109.753,113.123,116.928,149.401,145.564,133.607,125.144,128.907,123.641,131.112,128.334,161.079,147.876,148.923,134.037,163.478,165.481,147.076,152.711
Q8WU79,38.7298,,10.028,11.6799,20.9527,12.0827,2.69239,8.82146,13.0463,11.2214,4.72332,7.97773,7.10912,7.6489,,24.9319,30.5536,88.741,61.9691,37.3437,42.7905,31.0638,37.1782,30.4599
Q8WUZ0,,72.0012,71.4679,66.9959,98.0717,90.6531,77.4335,97.1331,68.4661,62.6882,66.4022,56.5395,29.2933,54.2678,61.882,74.831,53.1414,24.8451,25.7937,50.7467,31.1773,36.7767,24.75,25.7375
Q8WVP5,70.5718,57.3494,54.2567,43.8428,106.881,54.3858,50.3336,56.0425,67.3707,92.4121,60.3585,44.709,73.0031,73.7112,111.665,86.3002,20.7834,34.3205,,28.2745,,14.1825,33.3873,14.7724
Q92889,54.0876,65.6912,95.1276,85.9031,,65.3744,102.961,118.501,70.8724,93.8353,118.874,112.214,97.0111,91.3442,99.5348,63.4527,32.257,,,50.2428,,34.4355,,11.8634
Q96AB6,175.821,112.751,130.499,129.411,177.708,122.126,126.196,148.126,81.6128,93.7968,116.302,142.401,134.274,141.769,148.297,130.832,95.4558,76.151,85.841,109.436,84.5196,80.302,64.2818,77.0196
Q96B23,78.1788,66.9101,69.5433,81.8989,78.649,87.8311,71.696,48.6746,77.3379,82.6289,56.6346,82.2606,83.2954,57.9899,59.1894,62.6086,35.4154,35.0828,40.6112,49.8172,,38.2107,31.4467,45.0247
Q96CN7,87.7065,63.3457,64.1872,73.9863,98.3505,77.3771,64.1193,73.3136,51.3941,55.6964,63.2169,72.1301,69.604,69.5336,88.22,60.093,57.2815,50.9184,48.6234,49.4462,41.4441,46.7361,55.4434,51.9582
Q96FK6,130.415,,205.998,116.183,,215.753,165.621,186.802,86.1975,125.712,136.519,145.011,167.409,123.76,97.6034,144.667,90.1267,83.6472,60.9809,84.1678,60.7588,53.9719,92.0541,69.9649
Q96LD8,37.9391,23.1952,82.9574,68.5102,,46.1654,85.9906,86.0915,35.3944,50.097,69.2472,79.3139,78.1693,54.2557,16.3389,31.6959,11.8221,,,18.1319,,7.57538,13.7498,14.2971
Q99685,140.561,140.945,122.489,122.311,148.275,153.895,110.289,100.521,127.662,129.075,131.531,150.191,147.365,126.598,109.293,129.159,102.251,57.9874,76.1078,117.884,76.4451,91.8154,78.1165,93.5654
